id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
1335;Lote/Terreno à Venda em Blumenau no bairro Fortaleza;360000.0;0;0;459.0;0;loteterreno;;Fortaleza;13196;4212;5.0;Rua Babilonia;89053-490;;-26.870607;-49.0763179;venda;portal_imoveis
1336;Casa à Venda em Blumenau no bairro Salto do Norte;650000.0;3;3;482.5;5;casa;587;Salto Do Norte;8441;2779;7.0;Rua Trinta De Agosto;89065-210;;-26.8747273;-49.0932393;venda;portal_imoveis
1337;Casa à Venda em Blumenau no bairro Água Verde;900000.0;6;5;449.0;4;casa;162;Agua Verde;16186;5526;5.0;Rua Hermann Spernau;89037-506;;-26.9073283;-49.0978223;venda;portal_imoveis
1343;Casa para Alugar em Blumenau no bairro Garcia;7000.0;4;2;307.0;3;casa;98;Garcia;15911;5336;5.0;Rua Mancio Costa;89020-030;10.3;-26.9284339;-49.0580864;locação;portal_imoveis
1345;Casa para Alugar em Blumenau no bairro Itoupava Norte;5800.0;8;3;390.0;2;casa;55;Itoupava Norte;15648;5258;5.0;Rua Vinte E Cinco De Janeiro;89052-070;;-26.8903662;-49.0690388;locação;portal_imoveis
1346;Casa à Venda em Blumenau no bairro Fortaleza;530000.0;3;3;450.0;3;casa;98;Fortaleza;13196;4212;5.0;Rua Conde De Araruana;89057-233;;-26.8644397;-49.0620369;venda;portal_imoveis
1347;Casa à Venda em Blumenau no bairro Velha Central;735000.0;3;3;185.47;2;casa;35;Velha Central;18779;6119;7.0;Rua Wally Vogelbacher;89045-460;;-26.9335275;-49.1253947;venda;portal_imoveis
1353;Casa à Venda em Blumenau no bairro Ribeirão Fresco;580000.0;10;10;603.5;0;casa;659;Ribeirao Fresco;1587;513;1.0;Rua Pastor Oswald Hesse;89015-100;;-26.9279792;-49.0390287;venda;portal_imoveis
1357;Sobrado à Venda em Blumenau no bairro Garcia;800000.0;2;3;145.15;3;sobrado;;Garcia;15911;5336;5.0;Rua Araxa;89020-330;10.6;-26.9298493;-49.0535121;venda;portal_imoveis
1364;Lote/Terreno à Venda em Blumenau no bairro Salto Weissbach;350000.0;0;0;674.62;0;loteterreno;;Salto Weissbach;5213;1556;4.0;Rua Guilherme Probst;89032-250;;-26.9045483;-49.1358349;venda;portal_imoveis
1365;Lote/Terreno à Venda em Blumenau no bairro Salto Weissbach;350000.0;0;0;614.51;0;loteterreno;;Salto Weissbach;5213;1556;4.0;Rua Guilherme Probst;89032-250;;-26.9045483;-49.1358349;venda;portal_imoveis
1366;Casa à Venda em Blumenau no bairro Itoupava Norte;860000.0;3;5;240.0;3;casa;20;Itoupava Norte;15648;5258;5.0;Rua Pedro Pereira;89053-516;;-26.8776068;-49.0849655;venda;portal_imoveis
1367;Apartamento à Venda em Blumenau no bairro Água Verde;450000.0;2;3;177.55;2;apartamento;142;Agua Verde;16186;5526;5.0;Rua Tenente Silvio Delmar Hollenbach;89036-655;;-26.9145072;-49.1005226;venda;portal_imoveis
1373;Lote/Terreno à Venda em Blumenau no bairro Itoupava Norte;350000.0;0;0;599.43;0;loteterreno;112;Itoupava Norte;15648;5258;5.0;Rua Berlim;89052-630;;-26.8842776;-49.0791035;venda;portal_imoveis
1374;Apartamento à Venda em Blumenau no bairro Garcia;310000.0;2;2;79.7;1;apartamento;240;Garcia;15911;5336;5.0;Rua Ararangua;89020-302;14.05;-26.938174;-49.0538273;venda;portal_imoveis
1375;Apartamento à Venda em Blumenau no bairro Victor Konder;795000.0;3;1;189.72;2;apartamento;283;Victor Konder;4612;1990;1.0;Rua Timbo;89012-180;11.4;-26.9092948;-49.0756817;venda;portal_imoveis
1376;Casa à Venda em Blumenau no bairro Itoupava Norte;650000.0;3;2;610.0;2;casa;47;Itoupava Norte;15648;5258;5.0;Rua Vereador Romario Da Conceicao Badia;89053-600;13.45;-26.8741891;-49.0869085;venda;portal_imoveis
1377;Apartamento à Venda em Blumenau no bairro Centro;510000.0;3;2;212.94;2;apartamento;44;Centro;5004;1622;2.0;Rua Sao Joaquim;89012-420;12.55;-26.9123984;-49.0758331;venda;portal_imoveis
1382;Apartamento para Alugar em Blumenau no bairro Itoupava Norte;1500.0;2;1;58.3;1;apartamento;66;Itoupava Norte;15648;5258;5.0;Rua Sao Roque;89053-630;10.95;-26.8726573;-49.0870339;locação;portal_imoveis
1384;Casa à Venda em Blumenau no bairro Escola Agrícola;510000.0;2;2;124.0;2;casa;19;Escola Agricola;12145;3906;4.0;Rua Ernesto Rhenius;89031-572;;-26.8898958;-49.1091898;venda;portal_imoveis
1385;Sobrado à Venda em Blumenau no bairro Boa Vista;340000.0;2;2;99.0;1;sobrado;125;Boa Vista;1748;589;1.0;Rua Guido Kaestner Senior;89012-360;13.8;-26.8999524;-49.0642471;venda;portal_imoveis
1386;Apartamento à Venda em Blumenau no bairro Escola Agrícola;341768.0;2;1;80.0;1;apartamento;474;Escola Agricola;12145;3906;4.0;Rua Norberto Seara Heusi;89037-800;;-26.8920906;-49.0985074;venda;portal_imoveis
1390;Casa à Venda em Blumenau no bairro Passo Manso;3900000.0;4;7;8322.82;6;casa;128;Passo Manso;6799;2069;7.0;Rua Oswald Heinrich Kluge;89032-440;;-26.9055053;-49.1493956;venda;portal_imoveis
1392;Casa para Alugar em Blumenau no bairro Itoupavazinha;10000.0;2;1;357.7;0;casa;3587;Itoupavazinha;17560;5358;12.0;Rua Frederico Jensen;89066-510;15.05;-26.8605872;-49.0990946;locação;portal_imoveis
1399;Lote/Terreno à Venda em Blumenau no bairro Testo Salto;149000.0;0;0;700.17;0;loteterreno;28;Testo Salto;7065;2135;15.0;Rua Mina Nova;89074-350;;-26.8611092;-49.1415386;venda;portal_imoveis
1400;Apartamento para Alugar em Blumenau no bairro Victor Konder;2400.0;2;2;92.78;2;apartamento;113;Victor Konder;4612;1990;1.0;Rua Max Hering;89012-510;13.85;-26.9073376;-49.0785149;locação;portal_imoveis
1401;Casa à Venda em Blumenau no bairro Itoupava Central;750000.0;3;4;434.63;2;casa;364;Itoupava Central;28164;8715;45.0;Rua Norma Hadlich;89069-040;;-26.8066061;-49.0942941;venda;portal_imoveis
1422;Apartamento à Venda em Blumenau no bairro Vila Nova;542563.0;2;2;85.4;1;apartamento;54;Escola Agricola;12145;3906;4.0;Rua Sao Manoel;89037-625;;-26.9035809;-49.0971173;venda;portal_imoveis
1428;Apartamento à Venda em Blumenau no bairro Salto do Norte;265000.0;2;2;71.59;1;apartamento;480;Salto Do Norte;8441;2779;7.0;Rua Max Maul;89065-640;17.65;-26.8632931;-49.1159143;venda;portal_imoveis
1429;Sobrado à Venda em Blumenau no bairro Tribess;998000.0;3;4;194.9;2;sobrado;65;Tribess;8503;2691;3.0;Rua Mario Marcelo Werplotz;89057-272;;-26.8673565;-49.0516218;venda;portal_imoveis
1430;Sobrado à Venda em Blumenau no bairro Tribess;830000.0;3;4;144.26;2;sobrado;11;Tribess;8503;2691;3.0;Rua Evelina Dos Santos Iaginski;89057-275;;-26.8678233;-49.0510565;venda;portal_imoveis
1437;Casa à Venda em Blumenau no bairro Água Verde;600000.0;3;2;576.0;3;casa;132;Agua Verde;16186;5526;5.0;Rua Waldir Medeiros;89042-340;;-26.914426;-49.1367485;venda;portal_imoveis
1438;Apartamento para Alugar em Blumenau no bairro Passo Manso;1500.0;2;1;91.57;1;apartamento;1845;Passo Manso;6799;2069;7.0;Rua Bernardo Reiter;89046-200;;-26.9278486;-49.1432775;locação;portal_imoveis
1440;Lote/Terreno à Venda em Blumenau no bairro Garcia;450000.0;0;0;540.0;0;loteterreno;;Garcia;15911;5336;5.0;Rua Prefeito Frederico Busch Junior;89020-400;13.1;-26.9288714;-49.0563345;venda;portal_imoveis
1441;Casa à Venda em Blumenau no bairro Testo Salto;370000.0;2;2;68.74;1;casa;2975;Testo Salto;7065;2135;15.0;Rua Werner Duwe;89074-178;13.55;-26.8504419;-49.1519382;venda;portal_imoveis
1447;Lote/Terreno à Venda em Blumenau no bairro Ponta Aguda;350000.0;0;0;375.0;0;loteterreno;3065;Ponta Aguda;9880;3233;7.0;Rua Silvano Candido Da Silva Senior;89050-280;;-26.9004052;-49.0464149;venda;portal_imoveis
1448;Casa à Venda em Blumenau no bairro Testo Salto;370000.0;2;2;160.0;1;casa;2975;Testo Salto;7065;2135;15.0;Rua Werner Duwe;89074-178;13.55;-26.8504419;-49.1519382;venda;portal_imoveis
1449;Casa à Venda em Blumenau no bairro Vila Nova;3100000.0;4;3;1440.0;4;casa;162;Vila Nova;9962;3884;2.0;Rua Joao Gomes Da Nobrega;89035-450;12.8;-26.8986994;-49.0885241;venda;portal_imoveis
9473;Lote/Terreno à Venda em Blumenau no bairro Ponta Aguda;850000.0;0;0;8360.0;0;loteterreno;00;Ponta Aguda;9880;3233;7.0;Rua Rudolfo Augusto Kucker;89050-070;15.05;-26.9132753;-49.0659486;venda;portal_imoveis
9474;Lote/Terreno à Venda em Blumenau no bairro Itoupava Central;299000.0;0;0;397.0;0;loteterreno;835;Itoupavazinha;17560;5358;12.0;Rua Guilherme Scharf;89066-032;11.8;-26.8510262;-49.0871018;venda;portal_imoveis
9539;Apartamento à Venda em Blumenau no bairro Garcia;390000.0;3;2;124.17;2;apartamento;4040;Garcia;15911;5336;5.0;Rua Amazonas;89022-006;18.4;-26.9613043;-49.0655583;venda;portal_imoveis
9540;Casa à Venda em Blumenau no bairro Itoupava Central;1800000.0;3;4;332.0;2;casa;219;Itoupava Central;28164;8715;45.0;Rua Flamboyant;89062-253;;-26.8286471;-49.0868367;venda;portal_imoveis
9542;Apartamento à Venda em Blumenau no bairro Itoupavazinha;219000.0;2;1;55.0;1;apartamento;;Itoupavazinha;17560;5358;12.0;Rua Henrique Mette;89066-500;;-26.8589924;-49.1246485;venda;portal_imoveis
9573;Lote/Terreno à Venda em Blumenau no bairro Itoupava Central;2800000.0;0;0;43000.0;0;loteterreno;;Itoupava Central;28164;8715;45.0;Rua Tereza Fischer;89062-080;17.65;-26.8423599;-49.082931;venda;portal_imoveis
