id;title;price;rooms;bathrooms;size;parking_space;type;number;neighborhood_name;population;houses;area;street_name;zip_code;flood_quota;latitude;longitude;modality_name;company_name
68;Casa à Venda em Blumenau no bairro Itoupava Central;550000.0;3;3;157.0;4;casa;39;Itoupava Central;28164;8715;45.0;Rua Bruno Mordhorst;89062-244;17.65;-26.8260108;-49.0799027;venda;portal_imoveis
69;Sobrado à Venda em Blumenau no bairro Água Verde;510000.0;3;3;200.0;2;sobrado;321;Agua Verde;16186;5526;5.0;Rua Max Weise;89032-280;;-26.9054906;-49.1346702;venda;portal_imoveis
70;Apartamento com 2 dormitórios à venda, 54 m² por R$ 220.000,00 - Passo Manso - Blumenau/SC;220000.0;2;1;54.0;1;apartamento;;Passo Manso;6799;2069;7.0;Rua Elvira Bornhofen;89032-464;;-26.9070815;-49.154649;venda;zap_imoveis
71;Apartamento mobiliado com 2 dormitórios, 1 vaga de garagem.;220000.0;2;1;50.0;1;apartamento;;Agua Verde;16186;5526;5.0;Rua Margarida Waldrich;89042-160;;-26.9110469;-49.1264176;venda;zap_imoveis
73;Apartamento todo mobiliado bairro água verde.;220000.0;2;1;55.0;1;apartamento;;Passo Manso;6799;2069;7.0;Rua Alex Oechsler;89032-680;;-26.9061854;-49.1459225;venda;zap_imoveis
74;Terreno à venda, 1050 m² por R$ 220.000,00 - Testo Salto - Blumenau/SC;220000.0;0;0;1050.0;0;loteterreno;;Testo Salto;7065;2135;15.0;Rua Rudolfo Kienen;89074-410;;-26.8510996;-49.1463182;venda;zap_imoveis
75;Casa à Venda em Blumenau no bairro Água Verde;900000.0;3;2;204.0;2;casa;583;Agua Verde;16186;5526;5.0;Rua Frei Estanislau Schaette;89037-256;19.25;-26.9123839;-49.1120379;venda;portal_imoveis
76;Sobrado à Venda em Blumenau no bairro Velha Central;389000.0;2;3;78.18;2;sobrado;331;Velha Central;18779;6119;7.0;Rua Hugo Hoffmann;89040-296;;-26.9282255;-49.1252643;venda;portal_imoveis
77;Casa à Venda em Blumenau no bairro Água Verde;800000.0;3;2;200.0;3;casa;80;Agua Verde;16186;5526;5.0;Rua Arthur Weise;89032-290;;-26.9060085;-49.1343596;venda;portal_imoveis
78;Excelente terreno, no Bairro Itoupavazinha!;220000.0;0;0;0.0;0;loteterreno;;Itoupavazinha;17560;5358;12.0;Rua Luiz Maske;89066-650;;-26.8399033;-49.1205342;venda;zap_imoveis
79;Oportunidade, Apartamento térreo no Salto do Norte com 2 dormitórios;220000.0;2;1;52.0;1;apartamento;;Salto Do Norte;8441;2779;7.0;Rua Osni Jensen;89065-280;12.5;-26.8778205;-49.099843;venda;zap_imoveis
81;Belíssimo terreno no Bairro Vorstadt;220000.0;0;0;324.0;0;loteterreno;;Vorstadt;4269;1690;4.0;Rua Alfredo Kaestner;89015-540;10.85;-26.9014667;-49.0364473;venda;zap_imoveis
82;Terreno à venda, 360 m² por R$ 220.000,00 - Itoupava Central - Blumenau/SC;220000.0;0;0;360.0;0;loteterreno;;Itoupava Central;28164;8715;45.0;Rua Ricardo Georg;89069-100;;-26.7968587;-49.0994516;venda;zap_imoveis
83;Casa à Venda em Blumenau no bairro Passo Manso;450000.0;3;2;200.0;5;casa;32;Passo Manso;6799;2069;7.0;Rua Josepha Micheluzzi;89032-340;;-26.9123888;-49.1389979;venda;portal_imoveis
